Weedsps,Rate,Rateunit,RateM,RateunitM,RUN,Trt,Rep,Herbicide,DAT,IR,Dry weight,Biomass
Waterhemp,,fl oz/A,0,g AE/ha,1,7,1,Laudis,21,0,0.67,8
Waterhemp,,fl oz/A,0,g AE/ha,1,7,2,Laudis,21,0,0.75,-3
Waterhemp,,fl oz/A,0,g AE/ha,1,7,3,Laudis,21,0,0.69,5
Waterhemp,,fl oz/A,0,g AE/ha,1,7,4,Laudis,21,0,0.8,-10
Waterhemp,,fl oz/A,46,g AE/ha,1,8,1,Laudis,21,50,0.45,38
Waterhemp,,fl oz/A,46,g AE/ha,1,8,2,Laudis,21,65,0.35,52
Waterhemp,,fl oz/A,46,g AE/ha,1,8,3,Laudis,21,65,0.54,26
Waterhemp,,fl oz/A,46,g AE/ha,1,8,4,Laudis,21,60,0.53,27
Waterhemp,,fl oz/A,92,g AE/ha,1,9,1,Laudis,21,60,0.58,20
Waterhemp,,fl oz/A,92,g AE/ha,1,9,2,Laudis,21,65,0.44,40
Waterhemp,,fl oz/A,92,g AE/ha,1,9,3,Laudis,21,75,0.26,64
Waterhemp,,fl oz/A,92,g AE/ha,1,9,4,Laudis,21,75,0.3,59
Waterhemp,,fl oz/A,184,g AE/ha,1,10,1,Laudis,21,75,0.46,37
Waterhemp,,fl oz/A,184,g AE/ha,1,10,2,Laudis,21,80,0.41,44
Waterhemp,,fl oz/A,184,g AE/ha,1,10,3,Laudis,21,75,0.43,41
Waterhemp,,fl oz/A,184,g AE/ha,1,10,4,Laudis,21,85,0.24,67
Waterhemp,,fl oz/A,368,g AE/ha,1,11,1,Laudis,21,85,0.34,53
Waterhemp,,fl oz/A,368,g AE/ha,1,11,2,Laudis,21,90,0.21,71
Waterhemp,,fl oz/A,368,g AE/ha,1,11,3,Laudis,21,85,0.45,38
Waterhemp,,fl oz/A,368,g AE/ha,1,11,4,Laudis,21,85,0.28,62
Waterhemp,,fl oz/A,736,g AE/ha,1,12,1,Laudis,21,90,0.31,57
Waterhemp,,fl oz/A,736,g AE/ha,1,12,2,Laudis,21,90,0.32,56
Waterhemp,,fl oz/A,736,g AE/ha,1,12,3,Laudis,21,80,0.27,63
Waterhemp,,fl oz/A,736,g AE/ha,1,12,4,Laudis,21,90,0.27,63
Waterhemp,,fl oz/A,0,g AE/ha,1,13,1,Impact,21,0,0.69,-12
Waterhemp,,fl oz/A,0,g AE/ha,1,13,2,Impact,21,0,0.59,4
Waterhemp,,fl oz/A,0,g AE/ha,1,13,3,Impact,21,0,0.5,19
Waterhemp,,fl oz/A,0,g AE/ha,1,13,4,Impact,21,0,0.69,-12
Waterhemp,,fl oz/A,12.25,g AE/ha,1,14,1,Impact,21,70,0.33,47
Waterhemp,,fl oz/A,12.25,g AE/ha,1,14,2,Impact,21,65,0.28,55
Waterhemp,,fl oz/A,12.25,g AE/ha,1,14,3,Impact,21,70,0.25,60
Waterhemp,,fl oz/A,12.25,g AE/ha,1,14,4,Impact,21,75,0.29,53
Waterhemp,,fl oz/A,24.5,g AE/ha,1,15,1,Impact,21,80,0.34,45
Waterhemp,,fl oz/A,24.5,g AE/ha,1,15,2,Impact,21,85,0.2,68
Waterhemp,,fl oz/A,24.5,g AE/ha,1,15,3,Impact,21,80,0.31,50
Waterhemp,,fl oz/A,24.5,g AE/ha,1,15,4,Impact,21,80,0.28,55
Waterhemp,,fl oz/A,49,g AE/ha,1,16,1,Impact,21,85,0.28,55
Waterhemp,,fl oz/A,49,g AE/ha,1,16,2,Impact,21,85,0.26,58
Waterhemp,,fl oz/A,49,g AE/ha,1,16,3,Impact,21,85,0.25,60
Waterhemp,,fl oz/A,49,g AE/ha,1,16,4,Impact,21,80,0.3,51
Waterhemp,,fl oz/A,98,g AE/ha,1,17,1,Impact,21,90,0.16,74
Waterhemp,,fl oz/A,98,g AE/ha,1,17,2,Impact,21,85,0.22,64
Waterhemp,,fl oz/A,98,g AE/ha,1,17,3,Impact,21,95,0.27,56
Waterhemp,,fl oz/A,98,g AE/ha,1,17,4,Impact,21,90,0.2,68
Waterhemp,,fl oz/A,196,g AE/ha,1,18,1,Impact,21,90,0.18,71
Waterhemp,,fl oz/A,196,g AE/ha,1,18,2,Impact,21,90,0.19,69
Waterhemp,,fl oz/A,196,g AE/ha,1,18,3,Impact,21,90,0.22,64
Waterhemp,,fl oz/A,196,g AE/ha,1,18,4,Impact,21,95,0.17,72
Waterhemp,,fl oz/A,0,g AE/ha,2,1,1,Callisto,21,0,1.40,36
Waterhemp,,fl oz/A,0,g AE/ha,2,1,2,Callisto,21,0,2.20,0
Waterhemp,,fl oz/A,0,g AE/ha,2,1,3,Callisto,21,0,2.80,-27
Waterhemp,,fl oz/A,0,g AE/ha,2,1,4,Callisto,21,0,2.40,-9
Waterhemp,,fl oz/A,52.5,g AE/ha,2,2,1,Callisto,21,15,2.60,-18
Waterhemp,,fl oz/A,52.5,g AE/ha,2,2,2,Callisto,21,10,1.30,41
Waterhemp,,fl oz/A,52.5,g AE/ha,2,2,3,Callisto,21,10,2.20,0
Waterhemp,,fl oz/A,52.5,g AE/ha,2,2,4,Callisto,21,20,1.20,45
Waterhemp,,fl oz/A,105,g AE/ha,2,3,1,Callisto,21,20,1.30,41
Waterhemp,,fl oz/A,105,g AE/ha,2,3,2,Callisto,21,30,1.30,41
Waterhemp,,fl oz/A,105,g AE/ha,2,3,3,Callisto,21,20,1.90,14
Waterhemp,,fl oz/A,105,g AE/ha,2,3,4,Callisto,21,20,2.10,5
Waterhemp,,fl oz/A,210,g AE/ha,2,4,1,Callisto,21,25,1.30,41
Waterhemp,,fl oz/A,210,g AE/ha,2,4,2,Callisto,21,25,1.80,18
Waterhemp,,fl oz/A,210,g AE/ha,2,4,3,Callisto,21,25,1.30,41
Waterhemp,,fl oz/A,210,g AE/ha,2,4,4,Callisto,21,35,1.40,36
Waterhemp,,fl oz/A,420,g AE/ha,2,5,1,Callisto,21,50,1.10,50
Waterhemp,,fl oz/A,420,g AE/ha,2,5,2,Callisto,21,45,0.80,64
Waterhemp,,fl oz/A,420,g AE/ha,2,5,3,Callisto,21,50,1.10,50
Waterhemp,,fl oz/A,210,g AE/ha,2,5,4,Callisto,21,45,2.00,9
Waterhemp,,fl oz/A,840,g AE/ha,2,6,1,Callisto,21,60,0.90,59
Waterhemp,,fl oz/A,840,g AE/ha,2,6,2,Callisto,21,45,1.80,18
Waterhemp,,fl oz/A,840,g AE/ha,2,6,3,Callisto,21,65,0.90,59
Waterhemp,,fl oz/A,840,g AE/ha,2,6,4,Callisto,21,55,1.20,45
Waterhemp,,fl oz/A,0,g AE/ha,2,7,1,Laudis,21,0,2.10,-2
Waterhemp,,fl oz/A,0,g AE/ha,2,7,2,Laudis,21,0,2.50,-22
Waterhemp,,fl oz/A,0,g AE/ha,2,7,3,Laudis,21,0,1.20,41
Waterhemp,,fl oz/A,0,g AE/ha,2,7,4,Laudis,21,0,2.40,-17
Waterhemp,,fl oz/A,46,g AE/ha,2,8,1,Laudis,21,40,1.00,51
Waterhemp,,fl oz/A,46,g AE/ha,2,8,2,Laudis,21,35,0.80,61
Waterhemp,,fl oz/A,46,g AE/ha,2,8,3,Laudis,21,35,1.30,37
Waterhemp,,fl oz/A,46,g AE/ha,2,8,4,Laudis,21,35,1.30,37
Waterhemp,,fl oz/A,92,g AE/ha,2,9,1,Laudis,21,50,1.50,27
Waterhemp,,fl oz/A,92,g AE/ha,2,9,2,Laudis,21,45,0.90,56
Waterhemp,,fl oz/A,92,g AE/ha,2,9,3,Laudis,21,40,1.70,17
Waterhemp,,fl oz/A,92,g AE/ha,2,9,4,Laudis,21,45,1.20,41
Waterhemp,,fl oz/A,184,g AE/ha,2,10,1,Laudis,21,55,1.00,51
Waterhemp,,fl oz/A,184,g AE/ha,2,10,2,Laudis,21,60,1.00,51
Waterhemp,,fl oz/A,184,g AE/ha,2,10,3,Laudis,21,65,0.80,61
Waterhemp,,fl oz/A,184,g AE/ha,2,10,4,Laudis,21,65,0.80,61
Waterhemp,,fl oz/A,368,g AE/ha,2,11,1,Laudis,21,60,1.10,46
Waterhemp,,fl oz/A,368,g AE/ha,2,11,2,Laudis,21,60,1.10,46
Waterhemp,,fl oz/A,368,g AE/ha,2,11,3,Laudis,21,70,0.60,71
Waterhemp,,fl oz/A,368,g AE/ha,2,11,4,Laudis,21,60,1.20,41
Waterhemp,,fl oz/A,736,g AE/ha,2,12,1,Laudis,21,65,1.20,41
Waterhemp,,fl oz/A,736,g AE/ha,2,12,2,Laudis,21,80,0.40,80
Waterhemp,,fl oz/A,736,g AE/ha,2,12,3,Laudis,21,75,0.80,61
Waterhemp,,fl oz/A,736,g AE/ha,2,12,4,Laudis,21,65,1.00,51
Waterhemp,,fl oz/A,0,g AE/ha,2,13,1,Impact,21,0,2.40,3
Waterhemp,,fl oz/A,0,g AE/ha,2,13,2,Impact,21,0,2.70,-9
Waterhemp,,fl oz/A,0,g AE/ha,2,13,3,Impact,21,0,2.60,-5
Waterhemp,,fl oz/A,0,g AE/ha,2,13,4,Impact,21,0,2.20,11
Waterhemp,,fl oz/A,12.25,g AE/ha,2,14,1,Impact,21,20,1.40,44
Waterhemp,,fl oz/A,12.25,g AE/ha,2,14,2,Impact,21,35,1.30,48
Waterhemp,,fl oz/A,12.25,g AE/ha,2,14,3,Impact,21,55,0.40,84
Waterhemp,,fl oz/A,12.25,g AE/ha,2,14,4,Impact,21,40,0.80,68
Waterhemp,,fl oz/A,24.5,g AE/ha,2,15,1,Impact,21,45,1.20,52
Waterhemp,,fl oz/A,24.5,g AE/ha,2,15,2,Impact,21,50,1.00,60
Waterhemp,,fl oz/A,24.5,g AE/ha,2,15,3,Impact,21,65,0.20,92
Waterhemp,,fl oz/A,24.5,g AE/ha,2,15,4,Impact,21,65,1.00,60
Waterhemp,,fl oz/A,49,g AE/ha,2,16,1,Impact,21,65,0.90,64
Waterhemp,,fl oz/A,49,g AE/ha,2,16,2,Impact,21,60,1.00,60
Waterhemp,,fl oz/A,49,g AE/ha,2,16,3,Impact,21,70,0.60,76
Waterhemp,,fl oz/A,49,g AE/ha,2,16,4,Impact,21,70,1.00,60
Waterhemp,,fl oz/A,98,g AE/ha,2,17,1,Impact,21,70,0.90,64
Waterhemp,,fl oz/A,98,g AE/ha,2,17,2,Impact,21,70,1.00,60
Waterhemp,,fl oz/A,98,g AE/ha,2,17,3,Impact,21,70,0.90,64
Waterhemp,,fl oz/A,98,g AE/ha,2,17,4,Impact,21,80,0.30,88
Waterhemp,,fl oz/A,196,g AE/ha,2,18,1,Impact,21,85,0.50,80
Waterhemp,,fl oz/A,196,g AE/ha,2,18,2,Impact,21,75,0.80,68
Waterhemp,,fl oz/A,196,g AE/ha,2,18,3,Impact,21,80,0.40,84
Waterhemp,,fl oz/A,196,g AE/ha,2,18,4,Impact,21,75,1.10,56
