Weedsps,year,RateM,RateunitM,Rep,Herbicide,DAT,IR,1g/4m2,DW per Pl,DWR
Waterhemp,2015,92,g AE/ha,1,LaudisS,21,75,0.19,71,71.42857143
Waterhemp,2015,92,g AE/ha,2,LaudisS,21,75,0.18,65,72.93233083
Waterhemp,2015,92,g AE/ha,3,LaudisS,21,70,0.17,61,74.43609023
Waterhemp,2015,92,g AE/ha,4,LaudisS,21,80,0.14,58,78.94736842
Waterhemp,2015,184,g AE/ha,1,LaudisS,21,90,0.01,64,98.4962406
Waterhemp,2015,184,g AE/ha,2,LaudisS,21,90,0.05,44,92.48120301
Waterhemp,2015,184,g AE/ha,3,LaudisS,21,85,0.05,62,92.48120301
Waterhemp,2015,184,g AE/ha,4,LaudisS,21,80,0.1,71,84.96240602
Waterhemp,2015,0,g AE/ha,1,ImpactS,21,0.00001,0.85,-28,0.00001
Waterhemp,2015,0,g AE/ha,2,ImpactS,21,0.00001,0.7,-5,0.00001
Waterhemp,2015,0,g AE/ha,3,ImpactS,21,0.00001,0.56,16,0.00001
Waterhemp,2015,0,g AE/ha,4,ImpactS,21,0.00001,0.55,17,0.00001
Waterhemp,2015,6.125,g AE/ha,1,ImpactS,21,50,0.3,32,54.88721805
Waterhemp,2015,6.125,g AE/ha,2,ImpactS,21,55,0.34,49,48.87218045
Waterhemp,2015,6.125,g AE/ha,3,ImpactS,21,60,0.36,46,51.86
Waterhemp,2015,6.125,g AE/ha,4,ImpactS,21,70,0.24,64,58.9
Waterhemp,2015,12.25,g AE/ha,1,ImpactS,21,60,0.25,46,62.40601504
Waterhemp,2015,12.25,g AE/ha,2,ImpactS,21,65,0.25,62,62.40601504
Waterhemp,2015,12.25,g AE/ha,3,ImpactS,21,80,0.26,61,60.90225564
Waterhemp,2015,12.25,g AE/ha,4,ImpactS,21,75,0.2,70,69.92481203
Waterhemp,2015,18.375,g AE/ha,1,ImpactS,21,75,0.15,52,77.44360902
Waterhemp,2015,18.375,g AE/ha,2,ImpactS,21,80,0.19,56,71.42857143
Waterhemp,2015,18.375,g AE/ha,3,ImpactS,21,80,0.2,70,69.92481203
Waterhemp,2015,18.375,g AE/ha,4,ImpactS,21,75,0.18,61,72.93233083
Waterhemp,2015,24.5,g AE/ha,1,ImpactS,21,80,0.15,59,77.44360902
Waterhemp,2015,24.5,g AE/ha,2,ImpactS,21,90,0.11,49,83.45864662
Waterhemp,2015,24.5,g AE/ha,3,ImpactS,21,85,0.15,58,85
Waterhemp,2015,24.5,g AE/ha,4,ImpactS,21,80,0.1,74,84.96240602
Waterhemp,2015,49,g AE/ha,1,ImpactS,21,80,0.1,70,84.96240602
Waterhemp,2015,49,g AE/ha,2,ImpactS,21,85,0.09,77,86.46616541
Waterhemp,2015,49,g AE/ha,3,ImpactS,21,80,0.05,70,92.48120301
Waterhemp,2015,49,g AE/ha,4,ImpactS,21,90,0.08,85,87.96992481
Waterhemp,2015,0,g AE/ha,1,CallistoS,21,0.00001,1.37,5,0.00001
Waterhemp,2015,0,g AE/ha,2,CallistoS,21,0.00001,1.56,-8,0.00001
Waterhemp,2015,0,g AE/ha,3,CallistoS,21,0.00001,1.7,-18,0.00001
Waterhemp,2015,0,g AE/ha,4,CallistoS,21,0.00001,1.14,21,0.00001
Waterhemp,2015,26.25,g AE/ha,1,CallistoS,21,25,0.86,40,40.3812825
Waterhemp,2015,26.25,g AE/ha,2,CallistoS,21,20,1.01,30,35
Waterhemp,2015,26.25,g AE/ha,3,CallistoS,25,5,0.85,-14,41.0745234
Waterhemp,2015,26.25,g AE/ha,4,CallistoS,21,20,0.95,6,34.14211438
Waterhemp,2015,52.5,g AE/ha,1,CallistoS,21,40,0.75,48,50
Waterhemp,2015,52.5,g AE/ha,2,CallistoS,21,45,0.6,64,58.40554593
Waterhemp,2015,52.5,g AE/ha,3,CallistoS,21,40,0.76,47,47.31369151
Waterhemp,2015,52.5,g AE/ha,4,CallistoS,21,45,0.77,47,46.62045061
Waterhemp,2015,78.75,g AE/ha,1,CallistoS,21,50,0.77,47,50
Waterhemp,2015,78.75,g AE/ha,2,CallistoS,21,60,0.85,41,60
Waterhemp,2015,78.75,g AE/ha,3,CallistoS,21,60,0.7,34,55
Waterhemp,2015,78.75,g AE/ha,4,CallistoS,21,65,0.61,58,57.71230503
Waterhemp,2015,105,g AE/ha,1,CallistoS,21,60,0.55,63,61.87175043
Waterhemp,2015,105,g AE/ha,2,CallistoS,21,60,0.6,36,65
Waterhemp,2015,105,g AE/ha,3,CallistoS,21,65,0.8,45,65
Waterhemp,2015,105,g AE/ha,4,CallistoS,21,60,0.6,50,58.40554593
Waterhemp,2015,210,g AE/ha,1,CallistoS,21,70,0.25,69,82.66897747
Waterhemp,2015,210,g AE/ha,2,CallistoS,21,80,0.35,51,80
Waterhemp,2015,210,g AE/ha,3,CallistoS,21,80,0.27,81,81.28249567
Waterhemp,2015,210,g AE/ha,4,CallistoS,21,80,0.42,71,85
Waterhemp,2015,0,g AE/ha,1,LaudisS,21,0.0001,1.38,14,0.0001
Waterhemp,2015,0,g AE/ha,2,LaudisS,21,0.0001,1.7,-6,0.0001
Waterhemp,2015,0,g AE/ha,3,LaudisS,21,0.0001,1.54,4,0.0001
Waterhemp,2015,0,g AE/ha,4,LaudisS,21,0.0001,1.78,-11,0.0001
Waterhemp,2015,23,g AE/ha,1,LaudisS,21,45,0.55,72,65.625
Waterhemp,2015,23,g AE/ha,2,LaudisS,21,70,0.45,79,71.875
Waterhemp,2015,23,g AE/ha,3,LaudisS,21,60,0.6,73,62.5
Waterhemp,2015,23,g AE/ha,4,LaudisS,21,50,0.54,66,66.25
Waterhemp,2015,46,g AE/ha,1,LaudisS,21,65,0.4,75,75
Waterhemp,2015,46,g AE/ha,2,LaudisS,21,75,0.55,79,65.625
Waterhemp,2015,46,g AE/ha,3,LaudisS,21,70,0.4,59,75
Waterhemp,2015,46,g AE/ha,4,LaudisS,21,70,0.36,78,77.5
Waterhemp,2015,69,g AE/ha,1,LaudisS,21,70,0.47,71,70.625
Waterhemp,2015,69,g AE/ha,2,LaudisS,21,95,0.1,69,93.75
Waterhemp,2015,69,g AE/ha,3,LaudisS,21,80,0.35,69,78.125
Waterhemp,2015,69,g AE/ha,4,LaudisS,21,70,0.46,71,71.25
Waterhemp,2015,92,g AE/ha,1,LaudisS,21,80,0.2,83,87.5
Waterhemp,2015,92,g AE/ha,2,LaudisS,21,90,0.25,73,84.375
Waterhemp,2015,92,g AE/ha,3,LaudisS,21,85,0.2,79,87.5
Waterhemp,2015,92,g AE/ha,4,LaudisS,21,85,0.25,84,84.375
Waterhemp,2015,184,g AE/ha,1,LaudisS,21,85,0.15,81,90.625
Waterhemp,2015,184,g AE/ha,2,LaudisS,21,80,0.15,68,90.625
Waterhemp,2015,184,g AE/ha,3,LaudisS,21,85,0.2,73,87.5
Waterhemp,2015,184,g AE/ha,4,LaudisS,21,95,0.1,81,93.75
Waterhemp,2015,0,g AE/ha,1,ImpactS,21,0.00001,2.57,-36,0.00001
Waterhemp,2015,0,g AE/ha,2,ImpactS,21,0.00001,1.21,36,0.00001
Waterhemp,2015,0,g AE/ha,3,ImpactS,21,0.00001,1.73,8,0.00001
Waterhemp,2015,0,g AE/ha,4,ImpactS,21,0.00001,2.03,-8,0.00001
Waterhemp,2015,6.125,g AE/ha,1,ImpactS,21,50,0.45,80,76.06382979
Waterhemp,2015,6.125,g AE/ha,2,ImpactS,21,70,0.55,80,70.74468085
Waterhemp,2015,6.125,g AE/ha,3,ImpactS,21,55,0.45,86,76.06382979
Waterhemp,2015,6.125,g AE/ha,4,ImpactS,21,60,0.6,75,68.08510638
Waterhemp,2015,12.25,g AE/ha,1,ImpactS,21,80,0.45,80,76.06382979
Waterhemp,2015,12.25,g AE/ha,2,ImpactS,21,70,0.55,81,70.74468085
Waterhemp,2015,12.25,g AE/ha,3,ImpactS,21,70,0.4,69,78.72340426
Waterhemp,2015,12.25,g AE/ha,4,ImpactS,21,80,0.35,81,81.38297872
Waterhemp,2015,18.375,g AE/ha,1,ImpactS,21,70,0.46,76,75.53191489
Waterhemp,2015,18.375,g AE/ha,2,ImpactS,21,85,0.45,76,76.06382979
Waterhemp,2015,18.375,g AE/ha,3,ImpactS,21,85,0.45,76,76.06382979
Waterhemp,2015,18.375,g AE/ha,4,ImpactS,21,70,0.23,88,87.76595745
Waterhemp,2015,24.5,g AE/ha,1,ImpactS,21,90,0.25,76,86.70212766
Waterhemp,2015,24.5,g AE/ha,2,ImpactS,21,75,0.31,75,83.5106383
Waterhemp,2015,24.5,g AE/ha,3,ImpactS,21,80,0.31,84,83.5106383
Waterhemp,2015,24.5,g AE/ha,4,ImpactS,21,85,0.35,81,81.38297872
Waterhemp,2015,49,g AE/ha,1,ImpactS,21,85,0.2,77,91
Waterhemp,2015,49,g AE/ha,2,ImpactS,21,90,0.15,89,92.0212766
Waterhemp,2015,49,g AE/ha,3,ImpactS,21,90,0.2,73,95
Waterhemp,2015,49,g AE/ha,4,ImpactS,21,80,0.25,78,95
