Weedsps,Rate,RateunitM,Ratio,Run,Rep,Herbicide,DAT,Control,Biomass,BiomassR
Waterhemp,0,g AE/ha,0,2,1,Impact,21,0,2.35,0
Waterhemp,0,g AE/ha,0,2,2,Impact,21,0,2.17,0
Waterhemp,0,g AE/ha,0,2,3,Impact,21,0,2.24,0
Waterhemp,0,g AE/ha,0,2,4,Impact,21,0,1.35,0
Waterhemp,12.25,g AE/ha,0.5,2,1,Impact,21,60,0.35,65
Waterhemp,12.25,g AE/ha,0.5,2,2,Impact,21,65,0.35,60
Waterhemp,12.25,g AE/ha,0.5,2,3,Impact,21,60,0.45,55
Waterhemp,12.25,g AE/ha,0.5,2,4,Impact,21,60,0.25,70
Waterhemp,24.5,g AE/ha,1,2,1,Impact,21,70,0.4,80
Waterhemp,24.5,g AE/ha,1,2,2,Impact,21,70,0.08,80
Waterhemp,24.5,g AE/ha,1,2,3,Impact,21,65,0.4,80
Waterhemp,24.5,g AE/ha,1,2,4,Impact,21,70,0.28,86
Waterhemp,49,g AE/ha,2,2,1,Impact,21,85,0.29,86
Waterhemp,49,g AE/ha,2,2,2,Impact,21,99,0.11,95
Waterhemp,49,g AE/ha,2,2,3,Impact,21,90,0.29,86
Waterhemp,49,g AE/ha,2,2,4,Impact,21,99,0.21,90
Waterhemp,98,g AE/ha,4,2,1,Impact,21,95,0.17,92
Waterhemp,98,g AE/ha,4,2,2,Impact,21,95,0.13,94
Waterhemp,98,g AE/ha,4,2,3,Impact,21,90,0.2,90
Waterhemp,98,g AE/ha,4,2,4,Impact,21,95,0.19,91
Waterhemp,196,g AE/ha,8,2,1,Impact,21,90,0.11,95
Waterhemp,196,g AE/ha,8,2,2,Impact,21,95,0.08,96
Waterhemp,196,g AE/ha,8,2,3,Impact,21,90,0.07,97
Waterhemp,196,g AE/ha,8,2,4,Impact,21,95,0.21,99
Waterhemp,0,g AE/ha,0,1,1,CallistoS,21,0.0001,0.37,0.0001
Waterhemp,0,g AE/ha,0,1,2,CallistoS,21,0.0001,0.4,0.0001
Waterhemp,0,g AE/ha,0,1,3,CallistoS,21,0.0001,0.35,0.0001
Waterhemp,0,g AE/ha,0,1,4,CallistoS,21,0.0001,0.45,0.0001
Waterhemp,26.25,g AE/ha,0.25,1,1,CallistoS,21,40,0.25,50
Waterhemp,26.25,g AE/ha,0.25,1,2,CallistoS,21,60,0.18,54.14012739
Waterhemp,26.25,g AE/ha,0.25,1,3,CallistoS,21,55,0.19,60
Waterhemp,26.25,g AE/ha,0.25,1,4,CallistoS,21,65,0.14,64.33121019
Waterhemp,52.5,g AE/ha,0.5,1,1,CallistoS,21,65,0.15,61.78343949
Waterhemp,52.5,g AE/ha,0.5,1,2,CallistoS,21,60,0.17,60
Waterhemp,52.5,g AE/ha,0.5,1,3,CallistoS,21,60,0.33,70
Waterhemp,52.5,g AE/ha,0.5,1,4,CallistoS,21,65,0.16,59.23566879
Waterhemp,78.75,g AE/ha,0.75,1,1,CallistoS,21,65,0.12,80
Waterhemp,78.75,g AE/ha,0.75,1,2,CallistoS,21,65,0.12,80
Waterhemp,78.75,g AE/ha,0.75,1,3,CallistoS,21,65,0.13,85
Waterhemp,78.75,g AE/ha,0.75,1,4,CallistoS,21,70,0.08,79.61783439
Waterhemp,105,g AE/ha,1,1,1,CallistoS,21,90,0.03,92.3566879
Waterhemp,105,g AE/ha,1,1,2,CallistoS,21,85,0.03,92.3566879
Waterhemp,105,g AE/ha,1,1,3,CallistoS,21,80,0.01,97.4522293
Waterhemp,105,g AE/ha,1,1,4,CallistoS,21,90,0.02,94.9044586
Waterhemp,210,g AE/ha,2,1,1,CallistoS,21,85,0.01,97.4522293
Waterhemp,210,g AE/ha,2,1,2,CallistoS,21,90,0.05,87.2611465
Waterhemp,210,g AE/ha,2,1,3,CallistoS,21,99,0.01,97.4522293
Waterhemp,210,g AE/ha,2,1,4,CallistoS,21,99,0.01,97.4522293
Waterhemp,0,g AE/ha,0,2,1,CallistoS,21,0.0001,0.33,0.0001
Waterhemp,0,g AE/ha,0,2,2,CallistoS,21,0.0001,0.27,0.0001
Waterhemp,0,g AE/ha,0,2,3,CallistoS,21,0.0001,0.41,0.0001
Waterhemp,0,g AE/ha,0,2,4,CallistoS,21,0.0001,0.33,0.0001
Waterhemp,26.25,g AE/ha,0.25,2,1,CallistoS,21,50,0.09,70
Waterhemp,26.25,g AE/ha,0.25,2,2,CallistoS,21,45,0.09,50
Waterhemp,26.25,g AE/ha,0.25,2,3,CallistoS,21,55,0.04,70
Waterhemp,26.25,g AE/ha,0.25,2,4,CallistoS,21,55,0.08,60
Waterhemp,52.5,g AE/ha,0.5,2,1,CallistoS,21,75,0.09,73.13432836
Waterhemp,52.5,g AE/ha,0.5,2,2,CallistoS,21,60,0.08,76.11940299
Waterhemp,52.5,g AE/ha,0.5,2,3,CallistoS,21,70,0.03,80
Waterhemp,52.5,g AE/ha,0.5,2,4,CallistoS,21,85,0.01,85
Waterhemp,78.75,g AE/ha,0.75,2,1,CallistoS,21,85,0.04,88.05970149
Waterhemp,78.75,g AE/ha,0.75,2,2,CallistoS,21,90,0.03,85
Waterhemp,78.75,g AE/ha,0.75,2,3,CallistoS,21,80,0.05,85.07462687
Waterhemp,78.75,g AE/ha,0.75,2,4,CallistoS,21,85,0.09,73.13432836
Waterhemp,105,g AE/ha,1,2,1,CallistoS,21,85,0.01,97.01492537
Waterhemp,105,g AE/ha,1,2,2,CallistoS,21,99,0.03,91.04477612
Waterhemp,105,g AE/ha,1,2,3,CallistoS,21,90,0.02,94.02985075
Waterhemp,105,g AE/ha,1,2,4,CallistoS,21,99,0.02,94.02985075
Waterhemp,210,g AE/ha,2,2,1,CallistoS,21,99,0.01,97.01492537
Waterhemp,210,g AE/ha,2,2,2,CallistoS,21,99,0.02,94.02985075
Waterhemp,210,g AE/ha,2,2,3,CallistoS,21,99,0.02,94.02985075
Waterhemp,210,g AE/ha,2,2,4,CallistoS,21,99,0.01,97.01492537
Waterhemp,0,g AE/ha,0,1,1,LaudisS,21,0,0.42,0
Waterhemp,0,g AE/ha,0,1,2,LaudisS,21,0,0.38,0
Waterhemp,0,g AE/ha,0,1,3,LaudisS,21,0,0.31,0
Waterhemp,0,g AE/ha,0,1,4,LaudisS,21,0,0.39,0
Waterhemp,23,g AE/ha,0.25,1,1,LaudisS,21,75,0.15,70
Waterhemp,23,g AE/ha,0.25,1,2,LaudisS,21,70,0.12,72
Waterhemp,23,g AE/ha,0.25,1,3,LaudisS,21,75,0.14,75
Waterhemp,23,g AE/ha,0.25,1,4,LaudisS,21,85,0.12,68
Waterhemp,46,g AE/ha,0.5,1,1,LaudisS,21,80,0.08,78.66666667
Waterhemp,46,g AE/ha,0.5,1,2,LaudisS,21,85,0.09,76
Waterhemp,46,g AE/ha,0.5,1,3,LaudisS,21,90,0.07,81.33333333
Waterhemp,46,g AE/ha,0.5,1,4,LaudisS,21,85,0.071,81.06666667
Waterhemp,69,g AE/ha,0.75,1,1,LaudisS,21,95,0.01,97.33333333
Waterhemp,69,g AE/ha,0.75,1,2,LaudisS,21,90,0.01,97.33333333
Waterhemp,69,g AE/ha,0.75,1,3,LaudisS,21,95,0.02,94.66666667
Waterhemp,69,g AE/ha,0.75,1,4,LaudisS,21,95,0.04,89.33333333
Waterhemp,92,g AE/ha,1,1,1,LaudisS,21,95,0.01,97.33333333
Waterhemp,92,g AE/ha,1,1,2,LaudisS,21,95,0.02,94.66666667
Waterhemp,92,g AE/ha,1,1,3,LaudisS,21,99,0.01,97.33333333
Waterhemp,92,g AE/ha,1,1,4,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,1,1,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,1,2,LaudisS,21,99,0.02,94.66666667
Waterhemp,184,g AE/ha,2,1,3,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,1,4,LaudisS,21,99,0.01,97.33333333
Waterhemp,0,g AE/ha,0,2,1,LaudisS,21,0,0.33,0
Waterhemp,0,g AE/ha,0,2,2,LaudisS,21,0,0.27,0
Waterhemp,0,g AE/ha,0,2,3,LaudisS,21,0,0.49,0
Waterhemp,0,g AE/ha,0,2,4,LaudisS,21,0,0.41,0
Waterhemp,23,g AE/ha,0.25,2,1,LaudisS,21,70,0.12,75
Waterhemp,23,g AE/ha,0.25,2,2,LaudisS,21,75,0.13,70
Waterhemp,23,g AE/ha,0.25,2,3,LaudisS,21,70,0.15,70
Waterhemp,23,g AE/ha,0.25,2,4,LaudisS,21,65,0.15,71
Waterhemp,46,g AE/ha,0.5,2,1,LaudisS,21,95,0.07,81.33333333
Waterhemp,46,g AE/ha,0.5,2,2,LaudisS,21,95,0.05,86.66666667
Waterhemp,46,g AE/ha,0.5,2,3,LaudisS,21,80,0.05,86.66666667
Waterhemp,46,g AE/ha,0.5,2,4,LaudisS,21,80,0.08,81
Waterhemp,69,g AE/ha,0.75,2,1,LaudisS,21,90,0.04,89.33333333
Waterhemp,69,g AE/ha,0.75,2,2,LaudisS,21,95,0.02,94.66666667
Waterhemp,69,g AE/ha,0.75,2,3,LaudisS,21,90,0.02,94.66666667
Waterhemp,69,g AE/ha,0.75,2,4,LaudisS,21,80,0.02,94.66666667
Waterhemp,92,g AE/ha,1,2,1,LaudisS,21,99,0.01,97.33333333
Waterhemp,92,g AE/ha,1,2,2,LaudisS,21,95,0.01,97.33333333
Waterhemp,92,g AE/ha,1,2,3,LaudisS,21,85,0.01,97.33333333
Waterhemp,92,g AE/ha,1,2,4,LaudisS,21,95,0.01,97.33333333
Waterhemp,184,g AE/ha,2,2,1,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,2,2,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,2,3,LaudisS,21,99,0.01,97.33333333
Waterhemp,184,g AE/ha,2,2,4,LaudisS,21,99,0.01,97.33333333
Waterhemp,0,g AE/ha,0,1,1,ImpactS,21,0.0001,0.26,0.0001
Waterhemp,0,g AE/ha,0,1,2,ImpactS,21,0.0001,0.34,0.0001
Waterhemp,0,g AE/ha,0,1,3,ImpactS,21,0.0001,0.21,0.0001
Waterhemp,0,g AE/ha,0,1,4,ImpactS,21,0.0001,0.49,0.0001
Waterhemp,6.125,g AE/ha,0.25,1,1,ImpactS,21,75,0.07,78.46153846
Waterhemp,6.125,g AE/ha,0.25,1,2,ImpactS,21,75,0.07,78.46153846
Waterhemp,6.125,g AE/ha,0.25,1,3,ImpactS,21,70,0.1,69.23076923
Waterhemp,6.125,g AE/ha,0.25,1,4,ImpactS,21,75,0.11,66.15384615
Waterhemp,12.25,g AE/ha,0.5,1,1,ImpactS,21,85,0.14,80
Waterhemp,12.25,g AE/ha,0.5,1,2,ImpactS,21,80,0.08,90
Waterhemp,12.25,g AE/ha,0.5,1,3,ImpactS,21,80,0.1,80
Waterhemp,12.25,g AE/ha,0.5,1,4,ImpactS,21,85,0.12,90
Waterhemp,18.375,g AE/ha,0.75,1,1,ImpactS,21,85,0.07,85
Waterhemp,18.375,g AE/ha,0.75,1,2,ImpactS,21,80,0.08,85
Waterhemp,18.375,g AE/ha,0.75,1,3,ImpactS,21,90,0.07,90
Waterhemp,18.375,g AE/ha,0.75,1,4,ImpactS,21,90,0.01,96.92307692
Waterhemp,24.5,g AE/ha,1,1,1,ImpactS,21,90,0.03,90.76923077
Waterhemp,24.5,g AE/ha,1,1,2,ImpactS,21,95,0.05,84.61538462
Waterhemp,24.5,g AE/ha,1,1,3,ImpactS,21,95,0.02,93.84615385
Waterhemp,24.5,g AE/ha,1,1,4,ImpactS,21,95,0.01,96.92307692
Waterhemp,49,g AE/ha,2,1,1,ImpactS,21,90,0.01,96.92307692
Waterhemp,49,g AE/ha,2,1,2,ImpactS,21,90,0.01,96.92307692
Waterhemp,49,g AE/ha,2,1,3,ImpactS,21,99,0.06,99
Waterhemp,49,g AE/ha,2,1,4,ImpactS,21,95,0.1,95
Waterhemp,0,g AE/ha,0,2,1,ImpactS,21,0.0001,0.63,0.0001
Waterhemp,0,g AE/ha,0,2,2,ImpactS,21,0.0001,0.6,0.0001
Waterhemp,0,g AE/ha,0,2,3,ImpactS,21,0.0001,0.67,0.0001
Waterhemp,0,g AE/ha,0,2,4,ImpactS,21,0.0001,0.63,0.0001
Waterhemp,6.125,g AE/ha,0.25,2,1,ImpactS,21,70,0.22,65.2173913
Waterhemp,6.125,g AE/ha,0.25,2,2,ImpactS,21,75,0.15,76.28458498
Waterhemp,6.125,g AE/ha,0.25,2,3,ImpactS,21,70,0.15,76.28458498
Waterhemp,6.125,g AE/ha,0.25,2,4,ImpactS,21,70,0.09,85.77075099
Waterhemp,12.25,g AE/ha,0.5,2,1,ImpactS,21,99,0.05,92.09486166
Waterhemp,12.25,g AE/ha,0.5,2,2,ImpactS,21,85,0.04,93.67588933
Waterhemp,12.25,g AE/ha,0.5,2,3,ImpactS,21,90,0.03,95.256917
Waterhemp,12.25,g AE/ha,0.5,2,4,ImpactS,21,90,0.06,90.51383399
Waterhemp,18.375,g AE/ha,0.75,2,1,ImpactS,21,99,0.01,98.41897233
Waterhemp,18.375,g AE/ha,0.75,2,2,ImpactS,21,90,0.05,92.09486166
Waterhemp,18.375,g AE/ha,0.75,2,3,ImpactS,21,95,0.05,92.09486166
Waterhemp,18.375,g AE/ha,0.75,2,4,ImpactS,21,99,0.05,92.09486166
Waterhemp,24.5,g AE/ha,1,2,1,ImpactS,21,99,0.05,92.09486166
Waterhemp,24.5,g AE/ha,1,2,2,ImpactS,21,99,0.01,98.41897233
Waterhemp,24.5,g AE/ha,1,2,3,ImpactS,21,99,0.01,98.41897233
Waterhemp,24.5,g AE/ha,1,2,4,ImpactS,21,99,0.01,98.41897233
Waterhemp,49,g AE/ha,2,2,1,ImpactS,21,99,0.01,98.41897233
Waterhemp,49,g AE/ha,2,2,2,ImpactS,21,99,0.01,98.41897233
Waterhemp,49,g AE/ha,2,2,3,ImpactS,21,99,0.01,98.41897233
Waterhemp,49,g AE/ha,2,2,4,ImpactS,21,99,0.01,98.41897233
