Weedsps,Rate,Rateunit,RateM,RateunitM,RUN,Trt,Rep,Herbicide,DAT,IR,Dry weight,Biomass
Waterhemp,,fl oz/A,92,g AE/ha,1,11,2,Laudis,21,85,0.09,76
Waterhemp,,fl oz/A,92,g AE/ha,1,11,3,Laudis,21,99,0.06,84
Waterhemp,,fl oz/A,92,g AE/ha,1,11,4,Laudis,21,85,0.09,76
Waterhemp,,fl oz/A,184,g AE/ha,1,12,1,Laudis,21,99,0.05,87
Waterhemp,,fl oz/A,184,g AE/ha,1,12,2,Laudis,21,90,0.12,68
Waterhemp,,fl oz/A,184,g AE/ha,1,12,3,Laudis,21,100,0.03,92
Waterhemp,,fl oz/A,184,g AE/ha,1,12,4,Laudis,21,99,0.05,87
Waterhemp,,fl oz/A,0,g AE/ha,1,13,1,Impact,21,0,0.26,20
Waterhemp,,fl oz/A,0,g AE/ha,1,13,2,Impact,21,0,0.34,-5
Waterhemp,,fl oz/A,0,g AE/ha,1,13,3,Impact,21,0,0.21,35
Waterhemp,,fl oz/A,0,g AE/ha,1,13,4,Impact,21,0,0.49,-51
Waterhemp,,fl oz/A,6.125,g AE/ha,1,14,1,Impact,21,85,0.07,78
Waterhemp,,fl oz/A,6.125,g AE/ha,1,14,2,Impact,21,85,0.07,78
Waterhemp,,fl oz/A,6.125,g AE/ha,1,14,3,Impact,21,85,0.1,69
Waterhemp,,fl oz/A,6.125,g AE/ha,1,14,4,Impact,21,80,0.11,66
Waterhemp,,fl oz/A,12.25,g AE/ha,1,15,1,Impact,21,85,0.14,57
Waterhemp,,fl oz/A,12.25,g AE/ha,1,15,2,Impact,21,80,0.08,75
Waterhemp,,fl oz/A,12.25,g AE/ha,1,15,3,Impact,21,75,0.15,54
Waterhemp,,fl oz/A,12.25,g AE/ha,1,15,4,Impact,21,85,0.12,63
Waterhemp,,fl oz/A,18.375,g AE/ha,1,16,1,Impact,21,75,0.1,69
Waterhemp,,fl oz/A,18.375,g AE/ha,1,16,2,Impact,21,80,0.1,69
Waterhemp,,fl oz/A,18.375,g AE/ha,1,16,3,Impact,21,85,0.12,63
Waterhemp,,fl oz/A,18.375,g AE/ha,1,16,4,Impact,21,90,0.1,69
Waterhemp,,fl oz/A,24.5,g AE/ha,1,17,1,Impact,21,90,0.12,63
Waterhemp,,fl oz/A,24.5,g AE/ha,1,17,2,Impact,21,95,0.08,75
Waterhemp,,fl oz/A,24.5,g AE/ha,1,17,3,Impact,21,95,0.07,78
Waterhemp,,fl oz/A,24.5,g AE/ha,1,17,4,Impact,21,95,0.11,66
Waterhemp,,fl oz/A,49,g AE/ha,1,18,1,Impact,21,90,0.1,69
Waterhemp,,fl oz/A,49,g AE/ha,1,18,2,Impact,21,90,0.13,60
Waterhemp,,fl oz/A,49,g AE/ha,1,18,3,Impact,21,99,0.06,82
Waterhemp,,fl oz/A,49,g AE/ha,1,18,4,Impact,21,95,0.1,69
Waterhemp,,fl oz/A,0,g AE/ha,2,1,1,Callisto,21,0,0.33,1
Waterhemp,,fl oz/A,0,g AE/ha,2,1,2,Callisto,21,0,0.27,19
Waterhemp,,fl oz/A,0,g AE/ha,2,1,3,Callisto,21,0,0.41,-22
Waterhemp,,fl oz/A,0,g AE/ha,2,1,4,Callisto,21,0,0.33,1
Waterhemp,,fl oz/A,26.25,g AE/ha,2,2,1,Callisto,21,50,0.09,73
Waterhemp,,fl oz/A,26.25,g AE/ha,2,2,2,Callisto,21,45,0.09,73
Waterhemp,,fl oz/A,26.25,g AE/ha,2,2,3,Callisto,21,99,0.04,88
Waterhemp,,fl oz/A,26.25,g AE/ha,2,2,4,Callisto,21,99,0.08,76
Waterhemp,,fl oz/A,52.5,g AE/ha,2,3,1,Callisto,21,75,0.09,73
Waterhemp,,fl oz/A,52.5,g AE/ha,2,3,2,Callisto,21,60,0.08,76
Waterhemp,,fl oz/A,52.5,g AE/ha,2,3,3,Callisto,21,70,0.03,91
Waterhemp,,fl oz/A,52.5,g AE/ha,2,3,4,Callisto,21,99,0.01,97
Waterhemp,,fl oz/A,78.75,g AE/ha,2,4,1,Callisto,21,85,0.04,88
Waterhemp,,fl oz/A,78.75,g AE/ha,2,4,2,Callisto,21,90,0.03,91
Waterhemp,,fl oz/A,78.75,g AE/ha,2,4,3,Callisto,21,80,0.12,64
Waterhemp,,fl oz/A,78.75,g AE/ha,2,4,4,Callisto,21,85,0.09,73
Waterhemp,,fl oz/A,105,g AE/ha,2,5,1,Callisto,21,85,0.1,70
Waterhemp,,fl oz/A,105,g AE/ha,2,5,2,Callisto,21,99,0.03,91
Waterhemp,,fl oz/A,105,g AE/ha,2,5,3,Callisto,21,90,0.08,76
Waterhemp,,fl oz/A,105,g AE/ha,2,5,4,Callisto,21,99,0.02,94
Waterhemp,,fl oz/A,210,g AE/ha,2,6,1,Callisto,21,100,0.05,85
Waterhemp,,fl oz/A,210,g AE/ha,2,6,2,Callisto,21,100,0.02,94
Waterhemp,,fl oz/A,210,g AE/ha,2,6,3,Callisto,21,100,0.03,91
Waterhemp,,fl oz/A,210,g AE/ha,2,6,4,Callisto,21,100,0.01,97
Waterhemp,,fl oz/A,0,g AE/ha,2,7,1,Laudis,21,0,0.33,12
Waterhemp,,fl oz/A,0,g AE/ha,2,7,2,Laudis,21,0,0.27,28
Waterhemp,,fl oz/A,0,g AE/ha,2,7,3,Laudis,21,0,0.49,-31
Waterhemp,,fl oz/A,0,g AE/ha,2,7,4,Laudis,21,0,0.41,-9
Waterhemp,,fl oz/A,23,g AE/ha,2,8,1,Laudis,21,60,0.08,79
Waterhemp,,fl oz/A,23,g AE/ha,2,8,2,Laudis,21,65,0.09,76
Waterhemp,,fl oz/A,23,g AE/ha,2,8,3,Laudis,21,55,0.11,71
Waterhemp,,fl oz/A,23,g AE/ha,2,8,4,Laudis,21,50,0.11,71
Waterhemp,,fl oz/A,46,g AE/ha,2,9,1,Laudis,21,80,0.07,81
Waterhemp,,fl oz/A,46,g AE/ha,2,9,2,Laudis,21,95,0.08,79
Waterhemp,,fl oz/A,46,g AE/ha,2,9,3,Laudis,21,80,0.13,65
Waterhemp,,fl oz/A,46,g AE/ha,2,9,4,Laudis,21,80,0.09,76
Waterhemp,,fl oz/A,69,g AE/ha,2,10,1,Laudis,21,90,0.1,73
Waterhemp,,fl oz/A,69,g AE/ha,2,10,2,Laudis,21,95,0.09,76
Waterhemp,,fl oz/A,69,g AE/ha,2,10,3,Laudis,21,90,0.08,79
Waterhemp,,fl oz/A,69,g AE/ha,2,10,4,Laudis,21,80,0.11,71
Waterhemp,,fl oz/A,92,g AE/ha,2,11,1,Laudis,21,100,0.12,68
Waterhemp,,fl oz/A,92,g AE/ha,2,11,2,Laudis,21,95,0.03,92
Waterhemp,,fl oz/A,92,g AE/ha,2,11,3,Laudis,21,85,0.08,79
Waterhemp,,fl oz/A,92,g AE/ha,2,11,4,Laudis,21,95,0.07,81
Waterhemp,,fl oz/A,184,g AE/ha,2,12,1,Laudis,21,100,0.08,79
Waterhemp,,fl oz/A,184,g AE/ha,2,12,2,Laudis,21,99,0.07,81
Waterhemp,,fl oz/A,184,g AE/ha,2,12,3,Laudis,21,100,0.06,84
Waterhemp,,fl oz/A,184,g AE/ha,2,12,4,Laudis,21,100,0.04,89
Waterhemp,,fl oz/A,0,g AE/ha,2,13,1,Impact,21,0,0.63,0
Waterhemp,,fl oz/A,0,g AE/ha,2,13,2,Impact,21,0,0.6,5
Waterhemp,,fl oz/A,0,g AE/ha,2,13,3,Impact,21,0,0.67,-6
Waterhemp,,fl oz/A,0,g AE/ha,2,13,4,Impact,21,0,0.63,0
Waterhemp,,fl oz/A,6.125,g AE/ha,2,14,1,Impact,21,60,0.22,65
Waterhemp,,fl oz/A,6.125,g AE/ha,2,14,2,Impact,21,70,0.15,76
Waterhemp,,fl oz/A,6.125,g AE/ha,2,14,3,Impact,21,80,0.15,76
Waterhemp,,fl oz/A,6.125,g AE/ha,2,14,4,Impact,21,99,0.09,86
Waterhemp,,fl oz/A,12.25,g AE/ha,2,15,1,Impact,21,100,0.05,92
Waterhemp,,fl oz/A,12.25,g AE/ha,2,15,2,Impact,21,75,0.04,94
Waterhemp,,fl oz/A,12.25,g AE/ha,2,15,3,Impact,21,90,0.13,79
Waterhemp,,fl oz/A,12.25,g AE/ha,2,15,4,Impact,21,100,0.06,91
Waterhemp,,fl oz/A,18.375,g AE/ha,2,16,1,Impact,21,100,0.04,94
Waterhemp,,fl oz/A,18.375,g AE/ha,2,16,2,Impact,21,85,0.16,75
Waterhemp,,fl oz/A,18.375,g AE/ha,2,16,3,Impact,21,80,0.05,92
Waterhemp,,fl oz/A,18.375,g AE/ha,2,16,4,Impact,21,100,0.05,92
Waterhemp,,fl oz/A,24.5,g AE/ha,2,17,1,Impact,21,100,0.05,92
Waterhemp,,fl oz/A,24.5,g AE/ha,2,17,2,Impact,21,100,0.06,91
Waterhemp,,fl oz/A,24.5,g AE/ha,2,17,3,Impact,21,100,0.07,89
Waterhemp,,fl oz/A,24.5,g AE/ha,2,17,4,Impact,21,100,0.01,98
Waterhemp,,fl oz/A,49,g AE/ha,2,18,1,Impact,21,100,0.07,89
Waterhemp,,fl oz/A,49,g AE/ha,2,18,2,Impact,21,100,0.07,89
Waterhemp,,fl oz/A,49,g AE/ha,2,18,3,Impact,21,100,0.07,89
Waterhemp,,fl oz/A,49,g AE/ha,2,18,4,Impact,21,100,0.05,92
